"Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12"
"IL6","SCN4B","SYNE2","CLEC14A","SLN","MRC2","MFGE8","C11orf96","MT-CO2","PSAT1","GZMM","CD1C","MBP"
"ZFP36","RERG","CLEC14A","KCNJ2","RP11-572C15.6","COL1A1","FRZB","LRRC10B","FAU","TNNC1","ACAP1","CTD-2337J16.1","IL1RAPL1"
"TMSB10","CLSTN2","MYCT1","PALMD","ADAMTS2","PPFIA2","COL11A1","MYL9","NDUFA4L2","APOD","SLAMF1","IL1B","MLIP"
"RPS28","SELENBP1","JAM2","EMCN","HTRA3","COL6A2","GAS1","PPP1R14A","RPS9","ABCA6","CPA3","TSPAN33","LIPC"
"PPP1R10","MT1F","NRN1","PPA1","CDA","MXRA8","FHOD3","ARHGEF25","CFD","L1TD1","LAPTM5","LGALS2","ATP1A2"
"KLF2","MRVI1","HLA-E","N4BP3","ANGPTL2","CFH","LOX","RRAD","CRIP1","RND3","TBC1D10C","LY86","GPM6B"
"C10orf128","ANO1","TMSB10","PRND","LPAR1","SHOX2","MXRA8","DSTN","TPT1","LCNL1","MIR142","TFEC","LY6D"
"RPS14","FAM162B","TMSB4X","HLA-A","MEDAG","SLIT2","WNT16","FBXL13","CRYAB","GPC6","CXCR4","CD37","NKAIN2"
"LMO2","NCKAP5","CCL14","FAM124B","FAM180B","COL6A1","AFF3","KLHL23","RPL3","NGFR","CD247","NCF1","PEX5L"
"DUSP5","KCNJ8","GUK1","ACE","LSP1","COL3A1","IGFBP6","TAGLN","RPS16","OMD","TRAT1","WAS","LRRTM1"
"UBC","PRKAR2B","IFI27","IFI6","BCAT1","PDGFRL","PTPRS","MCAM","MFGE8","NR2F1","TPSAB1","LYVE1","PAQR6"
"IER5","COL3A1","B2M","NEBL","SFRP4","TNNT3","PSTPIP1","MIR143HG","PTN","PDGFRL","SPN","VAMP8","LPL"
"ALDH1A2","NPY1R","FAM110D","CALM1","COL6A2","CYGB","RP11-474O21.5","CHCHD10","RPL10A","SOX9","ITGAL","CD33","RORB"
"TPM3","C11orf96","MGST2","GNAI2","TNXB","FAP","ACADL","NMNAT2","RPL34","FOXP2","PTPN7","C1orf162","PARD6B"
"ATF3","PDGFRB","ITM2A","CX3CL1","EMP3","CD248","XG","MTHFD2","RPS18","ADAMTS14","CTSG","ARHGAP30","ARHGEF16"
"PIM3","LHFP","S1PR1","IFI44L","GPR64","FGFR1","VGLL3","GUCY1A3","RPS24","OSR2","GZMH","EVI2A","NIPAL1"
"EEF1A1","ISYNA1","CYYR1","PRDM16","FN1","NRXN2","PIK3R1","TPM1","ANGPTL7","EGFR","CARD11","NCF4","EPB41L4B"
"KDM6B","APOE","SHANK3","CD200","COL1A2","TNFSF13B","DSE","PGF","WISP2","DOCK5","RP11-284N8.3","IGSF6","APOA1"
"RPS2","SOD3","FBLN2","RHOB","ECM1","SLITRK4","KCNK15","SGCA","RPL23A","LMO7","SCML4","FCGR3A","PRX"
"DUSP23","OLFML2B","GIMAP5","PDGFB","IL17D","HHIP","LTBP2","SMARCD3","MT-ND4","PTCH2","LCK","CCR1","PLLP"
"GIMAP7","COL18A1","AC011526.1","TSPAN2","EFEMP1","CNTN4","FAM180B","SCN3A","RPS20","BMP3","IFNG","CCL3L1","XIST"
"HSPB1","KCNE4","TXNIP","TSPAN13","NOV","SFRP2","ANTXR1","LMOD1","RPL7","S100B","CD27","FCER1A","COBL"
"ITGB4","C20orf27","SEMA6A","KLF2","NFIX","SOD3","SERPINF1","MLTK","SELM","GLI1","IGJ","P2RY14","PLEKHB1"
"CYYR1","RCAN2","CLDN5","PTMA","CDO1","TMEM98","CLU","MT1A","RPL14","PAPLN","GPR183","CSF3R","XKR4"
"RP6-99M1.2","BGN","RAB11A","UNC5B","COL5A1","HHIP-AS1","CRYAB","MAFB","ACTA2","GPC1","RHOH","TBXAS1","CMTM5"
"IFI16","LPP","ROBO4","EPAS1","GPNMB","C1R","TSPAN8","PPP1R12B","FBLN1","PDZRN3","TNFRSF18","IL8","KCNMB4"
"FKBP1A","TEX41","SRP14","UTRN","DCN","MGST1","ST8SIA1","USP2","AIMP1","WFDC1","RASGRP1","SYK","PCDH10"
"PLAT","REM1","GIMAP1","MAST4","MFAP4","ZFHX4","CHPT1","GADD45G","RPL19","CNTN1","GPR171","HAVCR2","KIF19"
"SOD2","ANGPT2","SELP","MECOM","COL6A1","MFAP5","ASPN","RASD1","RPS14","MRAS","FMNL1","MARCO","PRRG4"
"HLA-DPB1","CTB-167B5.2","LMO2","GJA4","XG","SSPN","LEPR","DMPK","EEF1D","MEST","TC2N","GNA15","GATM"
"RPS6","FTH1","MKL2","PLS3","FMOD","NTNG1","NOX4","VTRNA2-1","RPS21","DIO3OS","CD79A","NCKAP1L","KANK4"
"CLEC2B","LPPR4","GIMAP6","PREX1","EPS8L2","OMD","OMD","CDH6","RPL27","USP54","SLC18A2","LILRB4","CYB5R2"
"GADD45B","TINAGL1","KCTD12","KIF26A","FSTL1","CRISPLD2","GRAMD3","ITGA7","UQCR11.1","GLT8D2","WAS","P2RY13","ERBB3"
"ADAMTS4","CALM2","MYH9","DLL4","PPAP2B","NFIX","RP11-38H17.1","CPM","SERPINF1","SCRG1","PTPN22","CECR1","SCN7A"
"DUSP1","HSPB2","FXYD5","ADAMTS6","ANK2","LTBP4","ECM2","NDUFA4L2","FMOD","LTBP4","CTD-2020K17.1","HPGDS","POU3F2"
"INSIG1","CCDC102B","CCDC69","HYAL2","DBN1","VCAN","CA12","MFGE8","RPS15A","KCNK2","TMC8","FYB","SOX8"
"HSPD1","MYLK","CD320","TIE1","ENPP1","PHLDA3","RCN3","SORBS2","RPL7A","BAMBI","EVI2B","CSF2RA","GPT2"
"GIMAP6","EPS8","NOSTRIN","ELTD1","GLIPR2","CRISPLD1","LUM","CPE","MT1X","LAMA2","SYTL3","LAPTM5","LGI1"
"PTPRB","SEPT4","LIMS2","SOS1","FBN1","MGP","IGF1","MRVI1","RPL5","LINC01088","ALOX5AP","BLNK","SPP1"
"IL33","ADCY3","DDX17","NEDD9","SLPI","HSD11B2","LRRC15","NEFM","MT-ATP6","FAAH","PRF1","CORO1A","TUBB2B"
"SH3BP5","PDE1A","MCTP1","TUSC3","IGFBP6","LGALS3BP","COL8A2","SUSD5","RPS10","LUM","MATK","SLAMF8","PEG10"
"ZNF608","MGP","TSHZ2","RNASE1","FAP","OSTN","ACKR3","GLDN","EEF1B2","F3","CXCR3","C5AR1","DUSP15"
"GNG11","ARHGDIB","ADCY4","TM4SF1","PTPRD","MSX1","MRC2","NEXN","RPSA","MATN2","RP11-861A13.4","IRF5","POU3F1"
"RPS18","MRGPRF","CRIP2","EFNB1","RCN3","CTSK","BHLHE41","IL17B","PRELP","DCN","SPOCK2","SIGLEC1","DLX1"
"LRRFIP1","LGALS3BP","TCF4","RNF144B","MXRA8","RARRES2","MTSS1","CALD1","RPL27A","SLC6A1","ITGB2","RBM47","ERMN"
"BAG3","PAWR","VWA1","HIP1R","AXL","PRRX1","ENPP1","C1QTNF1","PCOLCE2","BICC1","CCL4","LCP2","C7orf61"
