"Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7"
"CELF2","ALDOA","CILP2","MGP","S100A11","MPRIP","TNFAIP3","HECW2"
"IGFBP6","SERPINH1","RAB1A","OGN","S100A13","ANO1","B2M","PLCB1"
"LHFPL6","COX4I1","SLC15A4","CHI3L1","CD99","AGRN","CD93","TNFAIP8L1"
"SFPQ","COX7A1","H2AFZ",NA,"PLAU","AKAP12","LPAR6","LIMS2"
"ABLIM1","COX5B","HIVEP2",NA,"FILIP1L","CAV1","CSTB","MX1"
"PLXDC1","PSMA7","QSOX1",NA,"FSTL1","ENAH","CTSB","GASK1B"
"CCN1","TCEAL9","DENND5A",NA,"UBB","HSP90AB1","CD4","HLA-A"
"NTRK2","ZNHIT1","PPP4R4",NA,"MAP1B","SORBS2","GPX1","SHE"
"ANGPTL5","PXDN","P4HA1",NA,"ENSG00000155130","ITGB1","ADA2","LPAR6"
"IVNS1ABP","ANGPTL1","RASSF8",NA,"COLEC12","EPHA2","HCLS1","TINAGL1"
"KLF10","KRTCAP2","VCAM1",NA,"H3F3A","C1QTNF1","TMEM176B","MT-CO2"
"SPTAN1","SEC61B","DNAJB9",NA,"CXCL2","IL6","EPB41L3","ENG"
"FRZB","COPS9","HSPA5",NA,"TXN","FOS","OTULINL","FGD5"
"DDX17","RABAC1","TSPAN2",NA,"ENSG00000128016","ARHGEF7","ARHGAP4","SH3BGRL2"
"SCARA5","CFL1","P3H2",NA,"THY1","NID1","MPP1","OLFML2A"
"GFPT2","LAMTOR2","FGFBP2",NA,"HES1","ID4","LGALS9","SLC44A2"
"SLC20A1","KDELR3","CCL20",NA,"GPX4","MSRB3","TRAF1","ENSG00000117289"
"CFH","TIMM8B","KCNMA1",NA,"CYGB","IER5L","FGR","LMCD1"
"IL17D","VAMP5","RUBCNL",NA,"MEDAG","FOSB","S100A11","FAM84B"
"SERTAD4","CIB1","CRLF1",NA,"DNAJB1","SNCG","RASSF2","MGST2"
"TNFRSF11B","DAD1","COL8A2",NA,"HSPA1B","ITGA1","RASGEF1B","NPDC1"
"EMP1","FNDC1","NGF",NA,"ADD3","NDRG2","CCL2","MT-ND1"
"NOP2","NDUFB4","CMIP",NA,"PTGER4","CHCHD10","SLC15A3","COL18A1"
"INTS11","ATP5F1D","OAF",NA,"MSC","GADD45B","MT-CO2","DOCK4"
"CYP1B1","PLP2","SYNPO",NA,"ENSG00000177410","HSPA1B","CFLAR","GMFG"
"PER2","BOLA3","HIF1A",NA,"PDGFRL","TIMP3","SAT1","ARHGDIB"
"PIK3R1","RGS3","RELB",NA,"FXYD1","JUNB","SMAP2","MFSD6"
"RBM5","BLOC1S1","KLF5",NA,"SNED1","LRRC32","PLAUR","GRASP"
"CKB","PDLIM2","PTGER2",NA,"SCPEP1","CALM2","MBP","CASKIN2"
"TNK2","PLOD1","CBR3",NA,"SOX4","EOGT","BST2","MAP3K11"
"CIRBP","ATP5PF","COL5A2",NA,"NRP1","ZYX","AHR","CEMIP2"
"JMJD6","SELENOW","AEBP1",NA,"PLPP3","MIDN","B3GNT5","SLC2A3"
"SH3GLB2","YIF1A","SASH1",NA,"PLSCR4","LMNA","CYBA","EPHA4"
"CDK5RAP3","PDPN","METRNL",NA,"ARID5B","MICAL1","HSPA6","FLNC"
"SRSF7","SULF1","GCH1",NA,"TWIST1","SYTL2","ARHGDIB","TSPAN14"
"JADE2","CHCHD2","PGM2L1",NA,"CDH11","PLXND1","ETS2","NPR1"
"ENSG00000260032","BANF1","RSL24D1",NA,"BTF3","EHD2","PLIN2","KLF2"
"WSB1","DNAJC15","LOXL3",NA,"CRABP2","THBD","KLF6","CAV1"
"SLC38A2","ATP6V0E1","ENSG00000245532",NA,"ZNF106","ETS2","OTUD1","FAM241A"
"RBM6","RAB13","ERRFI1",NA,"SLIT3","FRY","ARL4C","NUAK1"
"CYB5D1","PCOLCE","SPARC",NA,"THBS2","HES1","TNFAIP8","MAP3K1"
