p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
4.94794828575863e-15,-2.25654115449264,1,1,8.92659350233714e-11,KO,Grin3a
4.95775786461336e-15,2.60730863130068,1,0.667,8.94429096354897e-11,KO,Krt17
4.97313037755018e-15,0.856284050961039,1,1,8.97202451413827e-11,KO,Baiap2
7.4513367539809e-15,-1.48934959006603,1,1,1.34429566378569e-10,KO,Pigz
9.10478254407159e-15,-1.26369203902756,1,1,1.64259381877596e-10,KO,Tlcd2
1.41710393474972e-14,-0.810264658787435,1,1,2.55659720868197e-10,KO,Ptges
1.6072491377958e-14,0.909657208378521,1,1,2.8996381694974e-10,KO,Rell1
1.95077516400135e-14,0.846479446019272,1,1,3.51939347337483e-10,KO,Vcan
2.42594875593676e-14,-1.07568478402441,1,1,4.37665415058551e-10,KO,Adam22
2.88210417875016e-14,-0.678699044812559,1,1,5.19960414888316e-10,KO,Ptprk
3.08443338817663e-14,1.30560544986975,1,1,5.56462627560946e-10,KO,Uchl1
3.63352672600865e-14,1.439878607254,1,1,6.55524556639221e-10,KO,Crabp2
6.05984899915143e-14,-2.68881883917432,0.667,1,1.09325735793691e-09,KO,Unc5c
6.76060168038263e-14,0.947657138027415,1,1,1.21968014915783e-09,KO,Thbs4
7.22452342304552e-14,0.86794375501075,1,1,1.30337627075164e-09,KO,Abcc1
7.85746991202118e-14,1.28345591489477,1,1,1.41756614682774e-09,KO,Tbc1d1
8.26979021658514e-14,-1.20724612967091,1,1,1.49195285297413e-09,KO,Nxph4
9.78408624800687e-14,0.917817838304805,1,1,1.76514700000292e-09,KO,Limch1
1.01365394585899e-13,0.709552196449678,1,1,1.82873308372421e-09,KO,Hsd3b7
1.12033158510109e-13,-1.14100720037028,1,1,2.02119021268087e-09,KO,Col11a2
1.16548987710058e-13,1.85941811770187,1,1,2.10266028727716e-09,KO,Lgr6
1.72387599577268e-13,-1.60296539792848,1,1,3.11004468397349e-09,KO,Gprc5c
1.86655428366182e-13,0.958731817117265,1,1,3.36745058315429e-09,KO,Anxa8
3.70041161475049e-13,-0.755892693945518,1,1,6.67591259417136e-09,KO,Dock8
3.77861815388729e-13,-0.815986725622841,1,1,6.81700501142807e-09,KO,Vit
5.77292871962361e-13,1.03429232288055,1,1,1.0414940703073e-08,KO,Syt9
5.9172892872004e-13,-0.880985256370879,1,1,1.06753816030382e-08,KO,Arhgef26
6.28395786242925e-13,0.650428186273387,1,1,1.13368883796086e-08,KO,B2m
8.45033567271062e-13,-1.48366852514507,1,1,1.52452505871372e-08,KO,Lsamp
9.18616976713981e-13,1.19705236148136,1,1,1.65727688768969e-08,KO,P2rx5
1.24881426830992e-12,1.09059085528353,1,1,2.25298582145793e-08,KO,Cd44
1.85939545933663e-12,0.896302824256742,1,1,3.35453534818921e-08,KO,Grk5
2.52457393250695e-12,-2.46243379393594,1,1,4.5545838316358e-08,KO,D630039A03Rik
2.79703598179106e-12,0.991958552029614,1,1,5.04613261474926e-08,KO,Aqp1
3.12827716258042e-12,-1.26627668766209,1,1,5.64372482901133e-08,KO,Kcnb1
3.1732206782725e-12,1.02098521271985,1,1,5.72480742567142e-08,KO,Gem
3.24646467711832e-12,-1.64682544450572,1,1,5.85694692398915e-08,KO,Slc26a10
3.40200256083494e-12,0.871562969310618,1,1,6.13755282000231e-08,KO,Islr
5.42222301793864e-12,-0.924230496503906,1,1,9.7822325466631e-08,KO,Lox
5.95656985250682e-12,1.32513993796656,1,1,1.07462476709076e-07,KO,Sncaip
6.23654991604666e-12,1.03935082463138,1,1,1.12513597035398e-07,KO,Mgst3
7.47957980963115e-12,-0.611343350949065,1,1,1.34939099345556e-07,KO,Tanc1
7.49300783001816e-12,-0.680189548729826,1,1,1.35181354261358e-07,KO,Por
8.35379928538217e-12,0.830577286001191,1,1,1.5071089290758e-07,KO,Col3a1
8.89394722324715e-12,-0.558653971952841,1,1,1.60455701854602e-07,KO,C030046E11Rik
