"Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12","Cluster13","Cluster14"
NA,"CLEC3A","NR1D1","IGFBP5",NA,"TMSB10","FNIP2","SDC2","ARL4D","CD34","ETS2","ACTB","PPP1R14B","TIMP3","RBP7"
NA,"NFATC2",NA,"RCAN1",NA,"PXDN","KCNMA1","MIR4435-2HG","CST3","SPRY1","ISG15","KLF10","HSD3B7","RGS5","CDKN2C"
NA,"RCAN1",NA,"MELTF",NA,"CRISPLD2","TIAM2","GUCY1A1","HLA-B","OSR2","IGFBP7","TXN","PAQR4","ANGPTL1","CRYAB"
NA,"DDIT4L",NA,"H19",NA,"MDK","ENPP1","MGP","TWIST1","CAMK2N1","SSTR2","EPHX1","TOP2A","CCL14","ABL2"
NA,"RNF144B",NA,"SRPX2",NA,"MYOF","PPP1R14C","CXCL12","MARCKS","PIK3R1","NPY1R","TNFAIP3","KIF20B","MXRA5","SERTAD2"
NA,"CXCL2",NA,"COL11A1",NA,"CAPG","ANGPTL2","CD44","PTGER4","PDGFD","NET1","ATF3","SMC2","COL15A1","UPP1"
NA,"SERPINA1",NA,"SPP1",NA,"IGFBP4","UGP2","PDLIM1","SPON1","ADIRF","MYH9","SMC4","PXDN","CEBPB","LINC01197"
NA,"UGDH",NA,"MT1G",NA,"NEAT1","C4orf48","UPP1","PLAAT4","FNDC1","COL18A1","AKAP12","NT5DC2","TXN","NTF3"
NA,"CBR3",NA,NA,NA,"MAP1A","SMIM14","TPM1","AHR","PDGFRA","KDM6B","CD74","NUCB2","PCOLCE2","EFHD2"
NA,"FBXO2",NA,NA,NA,"FBLN5","AKR1C2","CCL2","COLEC12","KLF6","KLF6","CLEC14A","GTSE1","IGFBP5","HMGCR"
NA,"PELI1",NA,NA,NA,"FSTL1","HTRA1","CYP26B1","MAFF","LAMA4","INPP4B","ITIH5","TNFRSF12A","VKORC1","NCOA7"
NA,"MIR100HG",NA,NA,NA,"NT5DC2","CDON","PALM2-AKAP2","PDGFRA","ATF3","LDLR","ID4","SMIM3","NUCB2","PALM2-AKAP2"
NA,"NINJ1",NA,NA,NA,"MAMDC2","ERRFI1","PDLIM3","PLAU","HLA-B","STK38L","ARHGAP15","CD276","THBS2","GAS7"
NA,"MAT2A",NA,NA,NA,"OLFML3","CBR3","DUSP14","EPHX1","NOVA1","ZNF331","FLNA","LRRC32","IGFBP6","PIM3"
NA,"LIF",NA,NA,NA,"DKK3","FBN1","RERG","MDK","FHL1","RUNX1T1","PDGFB","CD68","NFKBIA","NMB"
NA,"KCNMA1",NA,NA,NA,"FNIP2","BCAT1","KLF6","CAMK2N1","PODN","SORBS2","FLNB","RACGAP1","SYNPO","ADGRG1"
NA,"CD55",NA,NA,NA,"TWIST1","PDPN","MIDN","CTSH","FXYD1","GJC1","CAV1","STMN3","NBL1","SMC4"
NA,"CCL20",NA,NA,NA,"MFAP2","CTSZ","COL6A1","PLPP3","NR4A1","PDLIM1","AGRN","ARL4C","PODN","MARCKS"
NA,"RETREG1",NA,NA,NA,"THBS2","CD44","SCN4B","LAMA4","IER2","MAP3K8","IFI16","UCP2","CCL2","GJC1"
NA,"C11orf96",NA,NA,NA,"CTSZ","CLMP","PDGFRB","BNC2","NBL1","CAMK2N1","ZNF503","CSF1","CCL4L2","ATF3"
NA,"NFKB1",NA,NA,NA,"SGCD","ARPC1B","PPP1R14A","ARID5B","EPHX1","LINC00702","CD83","CKAP2L","XBP1","MIA"
NA,"SLC7A1",NA,NA,NA,"ZFP36L1","CSPG4","ARID5B","TNFAIP2","GADD45G","ZC3HAV1","MAP1B","PBK","TNFAIP2","KLHL21"
NA,"TNFAIP2",NA,NA,NA,"OLFML2B","NT5E","LGALS1","ANTXR2","HSPA1A","PPP1R15A","FOXD1","CKAP2","LINC01197","SLC3A2"
NA,"USP12",NA,NA,NA,"ACAN","RGS3","PHLDA1","EBF1","DUSP1","PGF","ITGB4","NRP2",NA,"TLE1"
NA,"PIM3",NA,NA,NA,"MEGF6","DUSP10","CD36","FBLN1","ISLR","LGALS3BP","SERTAD3","ARPC1B",NA,"PLEKHA4"
NA,"GCLM",NA,NA,NA,"ADAM12","VCAM1","CLSTN2","MFAP4","FGL2","GUCY1A1","CDKN1A","ENG",NA,"CCND2"
NA,"RUBCNL",NA,NA,NA,"FLNA","CREB5","COX4I2","HSPA1A","EBF1","CSRP1","TPM2","TRIM59",NA,"TUBB2B"
NA,"BDKRB1",NA,NA,NA,"NTN1","DGKI","GLIPR2","PLK2","RASD1","CKB","GSN","ANPEP",NA,"NT5DC2"
NA,"TIFA",NA,NA,NA,"ABHD2","S100A3","ADAMTS1","CCDC80","PLXDC1","FILIP1","MIDN","PCNA",NA,"RASL12"
NA,"GLRX",NA,NA,NA,"ADAMTS2","SLC16A3","LMOD1","MMP14","TAGLN2","PARM1","FGL2","CDCA3",NA,"HSPH1"
NA,"G0S2",NA,NA,NA,"AQP1","CAV1","SPRY2","ATF3","EMP3","KLF10","PLVAP","ACTG1",NA,"FRMD3"
NA,"TARS",NA,NA,NA,"PDGFRA","CSF1","VGLL3","PDGFRB","PLTP","TSPYL2","PDE5A","UBE2C",NA,"DNAJB1"
NA,"LGALSL",NA,NA,NA,"ANKH","ADAM12","PDE5A","SNAI2","SDC2","ID3","ARHGAP29","TMSB4X",NA,"MTHFD2"
NA,"NRP2",NA,NA,NA,"HMOX1","PRG4","EPAS1","FRMD6","FAM180B","CDH6","LIMS2","TAGLN2",NA,"MAF"
NA,"ARNTL",NA,NA,NA,"CHPF","SULF1","ANO1","KLHL21","HES1","DDIT3","CD34","CEP55",NA,"KLF6"
NA,"CLCF1",NA,NA,NA,"FBN1","SGK1","PHLDB2","IER3","SAMHD1","HES1","KRT18","COL6A2",NA,"ATP1B2"
NA,"FNIP2",NA,NA,NA,"MATN2","C10orf105","TXN","BAZ1A","CD248","VCL","GNG11","PLK4",NA,"CDC42SE1"
NA,"TNFRSF12A",NA,NA,NA,"HMCN1","FABP3","SLN","CXCL8","OLFML2A","RCAN2","CYYR1","ASPM",NA,"ARHGEF17"
NA,"GCH1",NA,NA,NA,"IL32","HMOX1","ADGRF5","ITM2A","PPP1R15A","ARID5B","ARRDC3","TGFBI",NA,"DTYMK"
NA,"PTGER2",NA,NA,NA,"C1QTNF1","ATP1B1","PDGFA","NFKB1","VIT","RASL12","ARHGEF17","JCAD",NA,"ISYNA1"
NA,NA,NA,NA,NA,"C4orf48","CD55","ADAMTS4","STOM","THBS4","TNFAIP3","VGLL3","ARL4A",NA,"RAPGEF5"
NA,NA,NA,NA,NA,"TAGLN2","FBLN5","EPS8","PTGFR","TNFAIP2","CDKN1A","TSHZ2","TUBG1",NA,"HSPA6"
NA,NA,NA,NA,NA,"CCDC80","IGFBP5","RNF152","KCTD12","TYMP","ID4","SERTAD1","ANXA2",NA,"NRN1"
NA,NA,NA,NA,NA,"PPIC","C2CD4B","KHDRBS3","RASD1","CLEC3B","ENTPD1","ID3","CA5B",NA,"HSPB1"
NA,NA,NA,NA,NA,"SDC2","CXCL8","ACTN4","IFITM1","ITM2A","ABCC9","ETS2","FAP",NA,"CAPS"
NA,NA,NA,NA,NA,"RRAD","POSTN","KCNJ8","GADD45A",NA,"JUNB","IFI27","CDH13",NA,"HSPA1A"
NA,NA,NA,NA,NA,"LBH","CCL20","ZNF703","AKAP12",NA,"ELN","CLEC2B","MAP4K4",NA,"ZNF528-AS1"
NA,NA,NA,NA,NA,"C1S",NA,"EPHX1","SLC3A2",NA,"JUN","MCAM","PRSS23",NA,"GATM"
NA,NA,NA,NA,NA,"SERPINF1",NA,"PRXL2A","NR4A1",NA,"SYNE2","TPM1","SYNE2",NA,"MEF2C"
NA,NA,NA,NA,NA,"NDUFA4L2",NA,"HSPB1","PPP1R15A",NA,"SLC25A25","PDLIM7","ADGRE5",NA,"ITIH5"
NA,NA,NA,NA,NA,"SULF1",NA,"ENPEP","MAT2A",NA,"SERTAD3","PDLIM1","ABHD2",NA,"CELF2"
NA,NA,NA,NA,NA,"ELN",NA,"THBD","OLFML3",NA,"ACTN4","JUNB","C4orf48",NA,"CREB5"
NA,NA,NA,NA,NA,"PLAU",NA,"LPP","ZNF503",NA,"ENAH","PLAU","NUSAP1",NA,"COL4A2"
NA,NA,NA,NA,NA,"NREP",NA,"ATF3","DCLK1",NA,"CLMN","CRIP1","CCDC34",NA,"TMEM176B"
NA,NA,NA,NA,NA,"TPPP3",NA,"AKAP12","JUN",NA,"CCL2","SPRY4","LMNB2",NA,"EGFLAM"
NA,NA,NA,NA,NA,"TYMP",NA,"LINC01197","SPRY1",NA,"MAP3K20","BCL3","CTSZ",NA,"CADM1"
NA,NA,NA,NA,NA,"KCTD12",NA,"HES4","ID4",NA,"MEF2C","SNAI1","UHRF1",NA,"CD83"
NA,NA,NA,NA,NA,"COL4A2",NA,"THY1","CYGB",NA,"NR2F2","CTNNB1","SMOC1",NA,"MAP4K4"
NA,NA,NA,NA,NA,"IGFBP5",NA,"LMNA","SDC2",NA,"LBH","MAP3K20","ITGA5",NA,"CCN3"
NA,NA,NA,NA,NA,"FABP5",NA,"NRP1","ANGPTL1",NA,"IRF1","PALM2-AKAP2","LTBP1",NA,"IER5"
NA,NA,NA,NA,NA,"LY6E",NA,"CHCHD10","CRISPLD1",NA,"ARHGDIB","PPP1R14B","BIRC3",NA,"TARS"
NA,NA,NA,NA,NA,"IGF1",NA,"PARM1","C11orf96",NA,"AMIGO2","MCTP1","UBE2T",NA,"COL8A1"
NA,NA,NA,NA,NA,"ANXA2",NA,"ASAP1","IFI16",NA,"HRH2","APOD","MT2A",NA,"JPT1"
NA,NA,NA,NA,NA,"TMEM119",NA,"PAWR","CXCL14",NA,"NR4A3","SLC25A25","CCND1",NA,"AGRN"
NA,NA,NA,NA,NA,"PLXDC1",NA,"CCL19","THBS2",NA,"ACTG2","PODXL","ATP1B3",NA,"CYP27C1"
NA,NA,NA,NA,NA,"CRISPLD1",NA,"ESAM","TUBB3",NA,"FBXO32","GIMAP7","MYH9",NA,"CKS2"
NA,NA,NA,NA,NA,"ID2",NA,"PPP1R15A","CDKN1A",NA,"SGIP1","ZC3H12A","ECT2",NA,"TMSB10"
NA,NA,NA,NA,NA,"IFI6",NA,"TPPP3","LMNA",NA,"ITGA8","EFNA1","SYCE1L",NA,"KPNA2"
NA,NA,NA,NA,NA,"RGS2",NA,"CNN1","CSRNP1",NA,"FILIP1L","TPM4","OLFML2B",NA,"LGALS1"
NA,NA,NA,NA,NA,"MAP4K4",NA,"PDE1A","CCND2",NA,"CHCHD10","RSRP1","MAP1B",NA,"VIM"
NA,NA,NA,NA,NA,"SPON1",NA,"MAP3K20","CALD1",NA,"EDNRA","AHR","FLNA",NA,"COL28A1"
NA,NA,NA,NA,NA,"PRSS23",NA,"FABP4","GUCY1A1",NA,"BST2","TUBA1C","NT5E",NA,"FAT1"
NA,NA,NA,NA,NA,"CRABP2",NA,"BST2","PHLDA1",NA,"NRGN","S1PR1","CSPG4",NA,"NFATC2"
NA,NA,NA,NA,NA,"ISG15",NA,"EBF1","FOSB",NA,"BCL3","CFLAR","PALM2-AKAP2",NA,"ID4"
NA,NA,NA,NA,NA,NA,NA,"MT1A","OLFML2A",NA,"ZFP36L1","SLC2A3","ZNF367",NA,"RRAD"
NA,NA,NA,NA,NA,NA,NA,"CRIM1","NAMPT",NA,"CPE","CD93","DHFR",NA,"SYTL2"
NA,NA,NA,NA,NA,NA,NA,"FILIP1L","SOCS3",NA,"FRY","AL118516.1","SPC25",NA,"ZNF703"
